SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot,N_APT,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_SchoolNearBy
185840.00,2007,2007,9,868,3,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
448672.00,2007,2007,9,1643,39,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
371681.00,2007,2007,9,1387,38,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
167964.00,2006,2007,9,903,10,terraced,individual_heating,management_in_trust,123,3,1,1,1,11
198230.00,2007,2007,9,868,13,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
74336.00,1997,2007,10,644,15,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
46902.00,1985,2007,10,587,5,corridor,individual_heating,self_management,80,1,1,2,1,4
61946.00,1985,2007,10,676,7,corridor,individual_heating,self_management,80,1,1,2,1,4
292035.00,2006,2007,10,2056,2,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
221238.00,1993,2007,10,1761,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
38495.00,1992,2007,10,355,13,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
60619.00,1992,2007,10,576,2,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
138053.00,1993,2007,10,914,9,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
39823.00,1992,2007,10,355,5,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
36283.00,1992,2007,10,355,1,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
92920.00,1993,2007,10,644,18,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
176991.00,1993,2007,10,1451,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
134513.00,1993,2007,10,914,16,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
77876.00,1992,2007,10,644,7,mixed,individual_heating,self_management,142,3,1,1,1,14
85840.00,1993,2007,10,644,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
141592.00,1992,2007,10,1448,11,mixed,individual_heating,self_management,142,3,1,1,1,14
98230.00,1993,2007,10,644,12,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
35398.00,1992,2007,10,355,8,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
159292.00,1993,2007,10,1288,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
95575.00,1993,2007,10,644,14,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
147787.00,2005,2007,10,743,8,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
340707.00,2007,2007,10,1387,42,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
197345.00,2007,2007,10,868,7,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
181415.00,2007,2007,10,868,7,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
346017.00,2007,2007,10,1387,28,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
55752.00,1985,2007,11,587,9,corridor,individual_heating,self_management,80,1,1,2,1,4
347787.00,2007,2007,11,1334,10,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
347787.00,2007,2007,11,1334,17,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
383185.00,2007,2007,11,1444,16,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
462831.00,2007,2007,11,1690,22,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
407079.00,2007,2007,11,1629,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
360176.00,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
315929.00,2007,2007,11,1334,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
289380.00,2007,2007,11,1273,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
348672.00,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
465486.00,2007,2007,11,1690,25,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
393805.00,2007,2007,11,1629,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
408849.00,2007,2007,11,1690,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
348672.00,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
371681.00,2007,2007,11,1483,9,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
326548.00,2007,2007,11,1334,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
348672.00,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
371681.00,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
348672.00,2007,2007,11,1483,5,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
371681.00,2007,2007,11,1483,8,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
337168.00,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
360176.00,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
360176.00,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
95132.00,1986,2007,11,910,15,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
110619.00,1993,2007,11,914,1,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
163716.00,2005,2007,11,914,8,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
232212.00,2007,2007,11,1103,24,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
86725.00,1993,2007,11,644,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
172566.00,1993,2007,11,1761,4,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
194690.00,1993,2007,11,2337,18,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
36283.00,1992,2007,11,355,4,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
60176.00,1992,2007,11,576,14,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
88495.00,1993,2007,11,644,19,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
61946.00,1992,2007,11,576,8,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
81858.00,1992,2007,11,644,16,mixed,individual_heating,self_management,142,3,1,1,1,14
60176.00,1992,2007,11,576,11,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
191150.00,2007,2007,11,868,8,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
408849.00,2007,2007,11,1643,4,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
162831.00,1986,2007,11,1131,5,terraced,central_heating,management_in_trust,713,7,1,1,0,6
203539.00,2007,2007,11,868,21,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
94690.00,1986,2007,12,910,16,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
242920.00,2006,2007,12,1437,4,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
307964.00,2006,2007,12,1743,15,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
287486.00,2007,2007,12,1366,19,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
285840.00,2007,2007,12,1366,20,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
132743.00,1993,2007,12,914,16,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
176991.00,2007,2007,12,914,30,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
323982.00,2007,2007,12,1448,30,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
92035.00,1993,2007,12,644,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
115044.00,1993,2007,12,914,9,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
137168.00,1993,2007,12,914,21,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
265486.00,2007,2007,12,1394,24,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
97345.00,1993,2007,12,644,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
199469.00,2007,2007,12,1103,17,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
290000.00,2007,2007,12,1366,18,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
82300.00,1993,2007,12,644,8,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
134513.00,1993,2007,12,914,11,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
201769.00,2007,2007,12,868,24,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
185840.00,1986,2007,12,1131,5,terraced,central_heating,management_in_trust,713,7,1,1,0,6
174336.00,1986,2007,12,1131,11,terraced,central_heating,management_in_trust,713,7,1,1,0,6
319469.00,2007,2007,12,1387,30,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
170796.00,1986,2007,12,1377,2,terraced,central_heating,management_in_trust,713,7,1,1,0,6
112389.00,1997,2008,1,914,11,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
72566.00,1985,2008,1,676,6,corridor,individual_heating,self_management,80,1,1,2,1,4
448672.00,2007,2008,1,1690,18,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
462831.00,2007,2008,1,1690,20,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
317699.00,2007,2008,1,1273,13,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
295460.00,2007,2008,1,1273,18,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
44247.00,1986,2008,1,508,1,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
51327.00,1986,2008,1,508,11,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
52212.00,1986,2008,1,547,4,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
265486.00,2006,2008,1,1437,28,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
38761.00,1992,2008,1,355,3,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
39823.00,1992,2008,1,355,12,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
84070.00,1993,2008,1,644,21,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
212389.00,2005,2008,1,1184,17,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
225663.00,2007,2008,1,1103,14,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
151327.00,2005,2008,1,743,10,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
91150.00,1993,2008,1,644,20,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
131415.00,2005,2008,1,743,3,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
135398.00,1993,2008,1,914,10,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
163539.00,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
176991.00,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
80530.00,1993,2008,1,644,2,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
86283.00,1993,2008,1,644,12,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
126106.00,1993,2008,1,914,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
207964.00,1986,2008,1,1377,10,terraced,central_heating,management_in_trust,713,7,1,1,0,6
198230.00,2007,2008,1,868,11,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
203539.00,2007,2008,1,868,24,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
194690.00,2007,2008,1,868,10,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
351769.00,2007,2008,1,1387,41,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
119292.00,1986,2008,1,914,4,terraced,central_heating,management_in_trust,713,7,1,1,0,6
193805.00,2007,2008,1,868,14,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
221238.00,2006,2008,1,1192,4,terraced,individual_heating,management_in_trust,123,3,1,1,1,11
150442.00,1986,2008,1,1131,3,terraced,central_heating,management_in_trust,713,7,1,1,0,6
191150.00,2007,2008,1,868,17,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
110619.00,1997,2008,2,914,13,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
61946.00,1985,2008,2,587,8,corridor,individual_heating,self_management,80,1,1,2,1,4
283185.00,2007,2008,2,1483,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
383185.00,2007,2008,2,1483,17,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
357522.00,2007,2008,2,1334,25,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
337168.00,2007,2008,2,1273,27,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
93805.00,1986,2008,2,910,11,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
197345.00,2006,2008,2,914,15,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
101327.00,1993,2008,2,644,11,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
146017.00,1993,2008,2,914,10,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
243362.00,1993,2008,2,2337,14,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
69026.00,1992,2008,2,640,11,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
79646.00,1993,2008,2,644,4,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
295575.00,2007,2008,2,1394,20,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
64601.00,1992,2008,2,576,10,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
127433.00,1993,2008,2,914,14,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
66371.00,1992,2008,2,640,1,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
160637.00,2007,2008,2,914,11,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
35398.00,1992,2008,2,355,15,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
256637.00,2007,2008,2,1366,12,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
254867.00,1986,2008,2,1796,9,terraced,central_heating,management_in_trust,713,7,1,1,0,6
176991.00,2007,2008,2,868,15,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
188495.00,2007,2008,2,868,3,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
176106.00,2006,2008,2,903,1,terraced,individual_heating,management_in_trust,123,3,1,1,1,11
428318.00,2007,2008,2,1643,20,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
176106.00,2006,2008,2,903,1,terraced,individual_heating,management_in_trust,123,3,1,1,1,11
166371.00,1986,2008,2,1131,9,terraced,central_heating,management_in_trust,713,7,1,1,0,6
151769.00,1986,2008,2,914,11,terraced,central_heating,management_in_trust,713,7,1,1,0,6
150442.00,1986,2008,2,1131,1,terraced,central_heating,management_in_trust,713,7,1,1,0,6
115929.00,1997,2008,3,914,13,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
63274.00,1997,2008,3,558,11,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
219469.00,2006,2008,3,910,16,terraced,individual_heating,management_in_trust,111,3,1,1,1,9
123893.00,2003,2008,3,907,7,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
59734.00,1985,2008,3,587,9,corridor,individual_heating,self_management,80,1,1,2,1,4
60176.00,1985,2008,3,587,5,corridor,individual_heating,self_management,80,1,1,2,1,4
327433.00,2007,2008,3,1273,22,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
307964.00,2007,2008,3,1273,9,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
448672.00,2007,2008,3,1690,16,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
370796.00,2007,2008,3,1483,18,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
347787.00,2007,2008,3,1690,11,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
462831.00,2007,2008,3,1690,22,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
448672.00,2007,2008,3,1690,15,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
435398.00,2007,2008,3,1690,7,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
51327.00,1986,2008,3,508,2,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
269911.00,2006,2008,3,1149,28,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
256637.00,2006,2008,3,1437,3,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
272566.00,2006,2008,3,1412,22,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
178761.00,2005,2008,3,914,24,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
194690.00,2007,2008,3,1103,3,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
174336.00,1993,2008,3,1451,5,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
37787.00,1992,2008,3,355,15,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
161946.00,2005,2008,3,914,18,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
70796.00,1992,2008,3,644,4,mixed,individual_heating,self_management,142,3,1,1,1,14
84955.00,1993,2008,3,644,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
92035.00,1993,2008,3,644,8,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
90707.00,1993,2008,3,644,6,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
194690.00,1993,2008,3,1288,16,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
153539.00,2005,2008,3,743,17,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
122389.00,1993,2008,3,914,18,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
123893.00,1993,2008,3,914,2,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
341592.00,2007,2008,3,1448,29,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
37168.00,1992,2008,3,355,14,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
124778.00,1993,2008,3,914,21,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
222123.00,2007,2008,3,1103,24,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
207964.00,2007,2008,3,1103,6,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
168141.00,1993,2008,3,1451,3,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
80530.00,1992,2008,3,644,15,mixed,individual_heating,self_management,142,3,1,1,1,14
169911.00,1986,2008,3,1377,2,terraced,central_heating,management_in_trust,713,7,1,1,0,6
207079.00,2007,2008,3,868,19,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
381663.00,2007,2008,3,1387,31,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
184955.00,1986,2008,3,1377,5,terraced,central_heating,management_in_trust,713,7,1,1,0,6
356637.00,2007,2008,3,1387,23,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
207079.00,2007,2008,3,868,18,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
184070.00,2007,2008,3,868,4,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
170796.00,1986,2008,3,1131,12,terraced,central_heating,management_in_trust,713,7,1,1,0,6
147787.00,1986,2008,3,914,1,terraced,central_heating,management_in_trust,713,7,1,1,0,6
442477.00,2007,2008,3,1643,43,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
150442.00,1986,2008,3,1131,11,terraced,central_heating,management_in_trust,713,7,1,1,0,6
408849.00,2007,2008,3,1643,5,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
70796.00,1985,2008,4,676,8,corridor,individual_heating,self_management,80,1,1,2,1,4
57522.00,1985,2008,4,587,7,corridor,individual_heating,self_management,80,1,1,2,1,4
383185.00,2007,2008,4,1444,10,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
382300.00,2007,2008,4,1483,20,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
462831.00,2007,2008,4,1690,23,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
371681.00,2007,2008,4,1483,7,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
373451.00,2007,2008,4,1483,24,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
347787.00,2007,2008,4,1334,10,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
383185.00,2007,2008,4,1483,16,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
48672.00,1986,2008,4,508,6,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
191150.00,2006,2008,4,914,7,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
272566.00,2006,2008,4,1437,10,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
212389.00,1993,2008,4,1761,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
86725.00,1992,2008,4,644,13,mixed,individual_heating,self_management,142,3,1,1,1,14
247787.00,2007,2008,4,1448,31,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
128318.00,1993,2008,4,914,4,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
85132.00,1993,2008,4,644,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
265486.00,2007,2008,4,1366,17,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
162831.00,1993,2008,4,1451,18,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
84955.00,1993,2008,4,644,15,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
89380.00,1993,2008,4,644,3,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
185840.00,2005,2008,4,914,20,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
38938.00,1992,2008,4,355,13,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
221238.00,1993,2008,4,2337,9,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
164601.00,1986,2008,4,1131,12,terraced,central_heating,management_in_trust,713,7,1,1,0,6
176106.00,1986,2008,4,1377,2,terraced,central_heating,management_in_trust,713,7,1,1,0,6
142920.00,2006,2008,5,814,17,terraced,individual_heating,management_in_trust,111,3,1,1,1,9
66371.00,1985,2008,5,587,6,corridor,individual_heating,self_management,80,1,1,2,1,4
72123.00,1985,2008,5,676,9,corridor,individual_heating,self_management,80,1,1,2,1,4
44690.00,1985,2008,5,498,7,corridor,individual_heating,self_management,80,1,1,2,1,4
448672.00,2007,2008,5,1690,12,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
383185.00,2007,2008,5,1483,15,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
307964.00,2007,2008,5,1273,7,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
53097.00,1986,2008,5,451,13,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
53982.00,1986,2008,5,451,9,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
265486.00,2006,2008,5,1437,28,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
265486.00,2006,2008,5,1437,20,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
173451.00,2005,2008,5,914,6,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
141592.00,2005,2008,5,743,9,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
65929.00,1992,2008,5,576,7,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
185840.00,1993,2008,5,1761,17,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
265486.00,2007,2008,5,1103,9,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
181415.00,1993,2008,5,1451,19,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
127433.00,1993,2008,5,914,14,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
181415.00,1993,2008,5,1761,1,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
144247.00,2005,2008,5,743,7,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
183628.00,2005,2008,5,914,16,mixed,individual_heating,management_in_trust,67,8,2,0,1,15
44247.00,1992,2008,5,576,4,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
185840.00,1993,2008,5,2337,24,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
291238.00,2007,2008,5,1394,11,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
291238.00,2007,2008,5,1394,11,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
277876.00,2007,2008,5,1419,11,terraced,individual_heating,management_in_trust,554,3,2,2,2,8
137168.00,1993,2008,5,914,23,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
176991.00,2006,2008,5,903,4,terraced,individual_heating,management_in_trust,123,3,1,1,1,11
198230.00,1986,2008,5,1377,4,terraced,central_heating,management_in_trust,713,7,1,1,0,6
332743.00,2007,2008,5,1387,24,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
69911.00,1997,2008,6,558,12,mixed,individual_heating,management_in_trust,82,1,1,2,1,7
194690.00,2006,2008,6,910,12,terraced,individual_heating,management_in_trust,111,3,1,1,1,9
55752.00,1985,2008,6,587,9,corridor,individual_heating,self_management,80,1,1,2,1,4
61061.00,1985,2008,6,587,7,corridor,individual_heating,self_management,80,1,1,2,1,4
326548.00,2007,2008,6,1334,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
360176.00,2007,2008,6,1483,4,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
289380.00,2007,2008,6,1273,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
307964.00,2007,2008,6,1273,8,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
371681.00,2007,2008,6,1483,8,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
317699.00,2007,2008,6,1273,10,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
315929.00,2007,2008,6,1334,3,terraced,individual_heating,management_in_trust,7,2,1,2,1,5
